# FractureId; NumTraces
0; 7
# TraceId; Tips; Length
212; 1; 3.3489708988538902e-01
207; 1; 3.1474238645272762e-01
205; 1; 2.8181181388440441e-01
210; 1; 1.5758016341451658e-01
115; 1; 1.2603545620209725e-01
108; 1; 8.1023930923595690e-03
209; 1; 6.5340490992791041e-03
# FractureId; NumTraces
13; 20
# TraceId; Tips; Length
220; 0; 7.5816410239208876e-01
161; 0; 7.0615194598080222e-01
229; 0; 5.7302825171340677e-01
216; 0; 4.8928048764886478e-01
44; 0; 1.8996706192210258e-01
218; 0; 9.3868185844017432e-02
215; 0; 3.4258098207869863e-04
223; 1; 6.7825564302855668e-01
224; 1; 6.6877334178572800e-01
222; 1; 6.6825684774495753e-01
219; 1; 6.1764824218000469e-01
226; 1; 6.0020545214109977e-01
228; 1; 5.3204109757757312e-01
214; 1; 4.9386615504377207e-01
217; 1; 4.7816616804745393e-01
221; 1; 4.6689682389788484e-01
72; 1; 2.0730281162183353e-01
227; 1; 1.2636491986430673e-01
225; 1; 7.5059229172484102e-02
116; 1; 4.2249225726658665e-02
# FractureId; NumTraces
14; 31
# TraceId; Tips; Length
162; 0; 1.1059679206308382e+00
235; 0; 9.8131160857697952e-01
233; 0; 8.8248469577413224e-01
117; 0; 8.6276525116766212e-01
237; 0; 8.4413157921099147e-01
232; 0; 6.1228031129643568e-01
230; 0; 6.0485951235049962e-01
203; 0; 5.8495333437547492e-01
45; 0; 5.7390811464565505e-01
144; 0; 4.8298143698395496e-01
236; 0; 2.9163550699945973e-01
37; 0; 1.7440624831934917e-01
14; 0; 1.5575395183890214e-01
239; 1; 1.4946028386702261e+00
249; 1; 1.3383640386948075e+00
242; 1; 1.0326102134305755e+00
246; 1; 9.3656780717898946e-01
243; 1; 8.8545561466730127e-01
231; 1; 8.4763098081450783e-01
186; 1; 8.2776979494388436e-01
248; 1; 8.0728361418382755e-01
250; 1; 7.5941559832113847e-01
245; 1; 6.9425990821379036e-01
244; 1; 6.5648761976084946e-01
247; 1; 6.3386563686568342e-01
234; 1; 5.9725329824506768e-01
238; 1; 5.8490672423816537e-01
73; 1; 5.2753809088190018e-01
214; 1; 4.9386615504377207e-01
240; 1; 3.5698050371977169e-01
241; 1; 3.0293484895823419e-01
# FractureId; NumTraces
15; 21
# TraceId; Tips; Length
230; 0; 6.0485951235049962e-01
253; 0; 3.7004351762862092e-01
215; 0; 3.4258098207869863e-04
258; 1; 9.4157435013696122e-01
254; 1; 7.4207253052710243e-01
251; 1; 6.9767992464120865e-01
259; 1; 5.1876352563441186e-01
204; 1; 4.9881610400579968e-01
252; 1; 4.3816375382347528e-01
262; 1; 3.9292902289345577e-01
263; 1; 3.8093407970350907e-01
136; 1; 3.2461084958832137e-01
256; 1; 3.1319653400015235e-01
118; 1; 3.0595373515579266e-01
261; 1; 2.1957512729561762e-01
46; 1; 2.1108417996010384e-01
109; 1; 1.5242556599522333e-01
255; 1; 1.5119049650334160e-01
257; 1; 1.2802098645861887e-01
145; 1; 8.6767193239245338e-02
260; 1; 4.1646606643643280e-02
# FractureId; NumTraces
16; 19
# TraceId; Tips; Length
268; 0; 7.2374329895625011e-01
272; 0; 6.4869576984735744e-01
216; 0; 4.8928048764886478e-01
163; 0; 3.7499341735129743e-01
278; 0; 1.7152211529734468e-01
264; 0; 1.3335016800802454e-01
231; 1; 8.4763098081450783e-01
273; 1; 7.5043391029709894e-01
276; 1; 6.3465031905048264e-01
266; 1; 6.2035706557642667e-01
265; 1; 5.5575048792071391e-01
267; 1; 5.2030519809910836e-01
270; 1; 5.0885998254446663e-01
277; 1; 4.9284768261492201e-01
74; 1; 4.5977394119010534e-01
275; 1; 3.9313437954554198e-01
271; 1; 2.6588082192644524e-01
269; 1; 2.4586594132640938e-01
274; 1; 2.2091967426285641e-01
# FractureId; NumTraces
17; 14
# TraceId; Tips; Length
283; 0; 5.7813318023177240e-01
282; 0; 5.7141276143016972e-01
288; 0; 3.0027098848061817e-01
92; 0; 1.8037308236993038e-01
264; 0; 1.3335016800802454e-01
279; 1; 7.2096251388833754e-01
75; 1; 5.2284873226797379e-01
281; 1; 5.1449486644396125e-01
15; 1; 5.0797391303725314e-01
284; 1; 3.9728717813407921e-01
285; 1; 3.1081710518495498e-01
287; 1; 1.2523403959159565e-01
280; 1; 1.2244077852624441e-01
286; 1; 1.5334234204167350e-03
# FractureId; NumTraces
18; 22
# TraceId; Tips; Length
232; 0; 6.1228031129643568e-01
298; 0; 1.5471811972642158e-01
76; 0; 1.4828813920453837e-01
93; 0; 1.4546681590113203e-01
303; 1; 9.5034609099066358e-01
293; 1; 7.3941562791058091e-01
301; 1; 6.0398663078303838e-01
299; 1; 5.7845539597583251e-01
300; 1; 5.7349749831047225e-01
302; 1; 5.7226407872323370e-01
265; 1; 5.5575048792071391e-01
290; 1; 5.2825705364916253e-01
217; 1; 4.7816616804745393e-01
16; 1; 4.6385210114130859e-01
164; 1; 4.6053016527194829e-01
291; 1; 3.7981880314494137e-01
294; 1; 3.5349957052471909e-01
292; 1; 2.6881583157071798e-01
295; 1; 2.0183382647542752e-01
289; 1; 1.3457166423854372e-01
297; 1; 1.1346007221431889e-01
296; 1; 1.0847641805485216e-01
# FractureId; NumTraces
19; 13
# TraceId; Tips; Length
307; 0; 7.1282370419629681e-01
17; 0; 3.8492992607914395e-01
218; 0; 9.3868185844017432e-02
279; 1; 7.2096251388833754e-01
266; 1; 6.2035706557642667e-01
311; 1; 5.1849789208316555e-01
310; 1; 4.1137564240800989e-01
306; 1; 4.0979010525824011e-01
308; 1; 3.7838499031190365e-01
305; 1; 3.7250681748203807e-01
309; 1; 2.7273963741562435e-01
289; 1; 1.3457166423854372e-01
304; 1; 2.8412567098885917e-02
# FractureId; NumTraces
20; 7
# TraceId; Tips; Length
312; 0; 5.9835354302756250e-01
314; 0; 5.9249086595994727e-01
313; 0; 1.2889594698634532e-01
187; 0; 1.0296992401265122e-01
38; 1; 5.2300954394792054e-01
137; 1; 2.5879726107968903e-01
110; 1; 1.4973175970221292e-01
# FractureId; NumTraces
21; 32
# TraceId; Tips; Length
316; 0; 9.6237669143164084e-01
233; 0; 8.8248469577413224e-01
323; 0; 4.1444694135893811e-01
317; 0; 4.1095894502540886e-01
146; 0; 2.2948873112094262e-01
330; 0; 1.8560664643469071e-01
188; 0; 1.0477358321673670e-01
165; 1; 8.9344226089632450e-01
334; 1; 7.0977970367169751e-01
251; 1; 6.9767992464120865e-01
219; 1; 6.1764824218000469e-01
321; 1; 6.1747279010479728e-01
326; 1; 6.1695784848523849e-01
333; 1; 6.0896475776060732e-01
290; 1; 5.2825705364916253e-01
267; 1; 5.2030519809910836e-01
319; 1; 4.5992181152418043e-01
331; 1; 4.5027101641261663e-01
324; 1; 3.9889715492935668e-01
320; 1; 3.8125375513747062e-01
119; 1; 3.3904431391603040e-01
329; 1; 3.2322824465650823e-01
328; 1; 3.2000147013463709e-01
205; 1; 2.8181181388440441e-01
327; 1; 2.0981623661718235e-01
332; 1; 2.0034734196697462e-01
322; 1; 1.8790517818365246e-01
325; 1; 1.7110353476012441e-01
315; 1; 1.6816275349356877e-01
318; 1; 1.5996254949720243e-01
94; 1; 1.5014470862621834e-01
18; 1; 1.2447664614277315e-01
# FractureId; NumTraces
22; 23
# TraceId; Tips; Length
120; 0; 9.9493753841209853e-01
312; 0; 5.9835354302756250e-01
206; 0; 4.3459483311429092e-01
342; 0; 9.5965957148852643e-02
189; 1; 1.0648771738260840e+00
339; 1; 8.6375666718228183e-01
343; 1; 8.5015841269920367e-01
